LATITUDE,LONGITUDE,ALTITUDE
28.61269,-13.738465,5876
28.61389,-13.73795,5908
28.615005,-13.737435,5940
28.616120000000002,-13.73692,5972
28.617235,-13.7362325,6004
28.61835,-13.735545,6036
28.619552499999998,-13.7348575,6068
28.620755,-13.73417,6096
28.6219575,-13.733655,6124
28.62316,-13.73314,6148
28.6243625,-13.732625,6176
28.625565,-13.73211,6200
28.6267675,-13.731425,6224
28.62797,-13.73074,6248
28.629170000000002,-13.730055,6272
28.63037,-13.72937,6300
28.63157,-13.728855,6324
28.63277,-13.72834,6356
28.6340575,-13.727825,6388
28.635345,-13.72731,6420
28.6366325,-13.7266225,6456
28.63792,-13.725935,6492
28.6391225,-13.7252475,6528
28.640325,-13.72456,6568
28.641527500000002,-13.7238725,6604
28.64273,-13.723185,6640
28.6439325,-13.7224975,6676
28.645135,-13.72181,6716
28.6463375,-13.721295,6752
28.64754,-13.72078,6792
28.64874,-13.720265,6832
28.64994,-13.71975,6872
28.651139999999998,-13.719065,6912
28.65234,-13.71838,6956
28.6536275,-13.717694999999999,6996
28.654915,-13.71701,7036
28.6562025,-13.7163225,7080
28.65749,-13.715634999999999,7120
28.6586925,-13.7149475,7164
28.659895,-13.71426,7204
28.661097499999997,-13.7135725,7248
28.6623,-13.712885,7292
28.6635025,-13.7121975,7332
28.664704999999998,-13.71151,7376
28.6659075,-13.710995,7416
28.66711,-13.71048,7460
28.66831,-13.709965,7500
28.669510000000002,-13.70945,7544
28.67071,-13.708765,7588
28.67191,-13.708079999999999,7628
28.673112500000002,-13.707395,7672
28.674315,-13.70671,7712
28.675517499999998,-13.7060225,7748
28.67672,-13.705335,7788
28.6780075,-13.7046475,7828
28.679295,-13.70396,7864
28.6805825,-13.7032725,7904
28.68187,-13.702585,7940
28.6830725,-13.7018975,7972
28.684275,-13.70121,8008
28.685477499999998,-13.700695,8044
28.68668,-13.70018,8076
28.6879675,-13.699665,8112
28.689255,-13.69915,8140
28.6905425,-13.6988075,8172
28.69183,-13.698464999999999,8204
28.693202499999998,-13.6981225,8236
28.694575,-13.69778,8268
28.695947500000003,-13.6976075,8300
28.69732,-13.697434999999999,8336
28.6986075,-13.697262499999999,8368
28.699895,-13.69709,8400
28.7011825,-13.696919999999999,8436
28.70247,-13.69675,8468
28.7038425,-13.69658,8504
28.705215000000003,-13.69641,8540
28.7065875,-13.69658,8576
28.70796,-13.69675,8616
28.7092475,-13.696919999999999,8656
28.710535,-13.69709,8692
28.7118225,-13.69709,8732
28.71311,-13.69709,8772
28.714485,-13.69709,8808
28.71586,-13.69709,8848
28.717235000000002,-13.69709,8888
28.71861,-13.69709,8924
28.719895,-13.69709,8960
28.72118,-13.69709,9000
28.722465,-13.697262499999999,9032
28.72375,-13.697434999999999,9072
28.725125,-13.6976075,9108
28.7265,-13.69778,9144
28.727875,-13.69778,9184
28.72925,-13.69778,9220
28.7305375,-13.69778,9256
28.731825,-13.69778,9296
28.7331125,-13.69778,9332
28.7344,-13.69778,9372
28.7357725,-13.69778,9408
